topic,paraphrase_idx,category,K,r_drift,abs_r_drift,r_timing_cv,abs_r_timing_cv,r_mean_depth_excess,abs_r_mean_depth_excess,r_isolated_frac,abs_r_isolated_frac,r_d2_excess,abs_r_d2_excess
mid_psychedelic_therapy,3,mid,30,-0.12966200303973538,0.12966200303973538,0.17110264815040283,0.17110264815040283,0.04442241775535988,0.04442241775535988,0.08005662193818305,0.08005662193818305,0.05107693721013307,0.05107693721013307
mid_psychedelic_therapy,4,mid,30,-0.021467138877712743,0.021467138877712743,-0.1761965711004815,0.1761965711004815,0.1483330272479073,0.1483330272479073,-0.25111756116905154,0.25111756116905154,0.026960837153916666,0.026960837153916666
mid_school_choice,0,mid,30,-0.16786015919184943,0.16786015919184943,0.1324124783799139,0.1324124783799139,-0.2610830914358245,0.2610830914358245,-0.2565334024358541,0.2565334024358541,-0.20897054110871427,0.20897054110871427
mid_school_choice,1,mid,30,-0.09059488852112492,0.09059488852112492,0.09479990805577877,0.09479990805577877,-0.05546849366533896,0.05546849366533896,0.07759437993107299,0.07759437993107299,-0.07875970731994351,0.07875970731994351
mid_school_choice,2,mid,30,0.014068728310824447,0.014068728310824447,0.08438034583928358,0.08438034583928358,-0.17972316747999556,0.17972316747999556,-0.032336232465459296,0.032336232465459296,-0.04401885991419261,0.04401885991419261
mid_school_choice,3,mid,30,-0.20000160994998564,0.20000160994998564,-0.22360625905437095,0.22360625905437095,-0.12996038384312364,0.12996038384312364,0.009262080201620605,0.009262080201620605,-0.10953603050748319,0.10953603050748319
mid_school_choice,4,mid,30,-0.003921055232744858,0.003921055232744858,-0.11695381069458985,0.11695381069458985,0.018801928515908495,0.018801928515908495,-0.05279037155611552,0.05279037155611552,0.18853343853580737,0.18853343853580737
mid_universal_basic_income,0,mid,30,-0.11329209074027416,0.11329209074027416,0.29737988879775434,0.29737988879775434,-0.15041997480421349,0.15041997480421349,0.4058432164809528,0.4058432164809528,-0.15041997480421354,0.15041997480421354
mid_universal_basic_income,1,mid,30,-0.4116864311039703,0.4116864311039703,-0.0499908480048169,0.0499908480048169,0.19450629951859294,0.19450629951859294,0.22031739948178466,0.22031739948178466,0.22446123275315485,0.22446123275315485
mid_universal_basic_income,2,mid,30,-0.2437812015241225,0.2437812015241225,0.015379103157277151,0.015379103157277151,0.3426693152883742,0.3426693152883742,0.12941046410852475,0.12941046410852475,0.3646417181596382,0.3646417181596382
mid_universal_basic_income,3,mid,30,0.07880550090758823,0.07880550090758823,-0.02969927617023907,0.02969927617023907,0.11259556519554795,0.11259556519554795,-0.03496712083450315,0.03496712083450315,0.17264847011666357,0.17264847011666357
